elapsed_s,root_rx_bps
1.040,155289.8
2.078,192899.4
3.120,258713.7
4.160,431415.6
5.200,275866.7
6.238,266489.0
7.276,225648.8
8.313,201837.4
9.350,240581.9
10.388,219945.9
11.425,314808.5
12.463,183715.1
13.503,95311.6
14.544,122209.6
15.582,105676.0
16.623,72211.5
17.662,45069.5
18.702,62291.9
19.740,50948.9
20.795,61838.3
21.833,51776.8
22.874,54655.7
23.911,51089.2
24.947,56490.7
25.986,96470.9
27.025,87369.6
28.062,67063.6
29.099,71284.6
30.136,61541.0
31.174,45054.9
32.213,53632.0
33.253,58677.3
34.293,61731.0
35.332,64286.9
36.372,83247.6
37.412,56554.9
38.454,46941.3
39.492,46555.5
40.542,49918.8
41.582,43506.7
42.621,47224.9
43.662,55463.9
44.705,86256.3
45.745,87910.3
46.785,130310.6
47.827,84124.3
48.866,104574.7
49.905,82995.6
50.948,116834.1
51.989,120600.0
53.029,161185.8
54.071,122948.4
55.110,140578.1
56.152,112411.6
57.192,109710.6
58.231,83066.1
59.272,50000.1
