elapsed_s,root_rx_bps
1.043,1220541.6
2.082,1848046.3
3.121,1648665.3
4.159,1403002.0
5.196,1295874.9
6.236,1181366.4
7.276,1173303.4
8.314,1012408.4
9.352,1030153.2
10.393,887046.3
11.431,869058.2
12.473,375310.4
13.511,183505.2
14.554,209464.6
15.591,218816.9
16.632,141871.5
17.669,114200.6
18.706,107509.0
19.746,97057.7
20.786,95735.3
21.825,106243.9
22.864,106503.8
23.906,84368.2
24.945,108656.6
25.985,153164.8
27.022,149562.1
28.059,134656.1
29.098,121733.9
30.136,122149.0
31.178,85103.4
32.216,95901.0
33.258,106148.0
34.297,151902.9
35.334,120932.4
36.375,138898.0
37.415,83704.2
38.457,96234.4
39.497,84916.5
40.535,84472.4
41.574,84002.9
42.611,84019.3
43.652,95026.5
44.693,206050.8
45.743,577748.5
46.786,627699.9
47.827,538807.3
48.868,608041.0
49.910,556832.5
50.952,517774.7
51.992,799223.5
53.033,888525.9
54.072,832670.7
55.112,675981.8
56.153,922565.5
57.196,862266.6
58.239,348408.2
59.279,360696.2
