window_size_ms,variant,tuples,windows,tuples_per_window,total_bytes,bytes_per_window,vs_split
5000,split,8961600,22756,393.8,423848463,18625.8,1.0
5000,split_zstd,8961400,22756,393.8,205269028,9020.4,2.065
5000,delta,8962600,22756,393.9,57503264,2526.9,7.371
5000,delta_zstd,8964000,22756,393.9,29139082,1280.5,14.546
15000,split,8958800,7606,1177.9,141859369,18651.0,1.0
15000,split_zstd,8963000,7606,1178.4,70273145,9239.2,2.019
15000,delta,8962400,7606,1178.3,26896017,3536.2,5.274
15000,delta_zstd,8963400,7606,1178.5,13437831,1766.7,10.557
60000,split,8962000,1902,4711.9,35616535,18725.8,1.0
60000,split_zstd,8962200,1902,4712.0,18412639,9680.7,1.934
60000,delta,8962600,1902,4712.2,10186221,5355.5,3.497
60000,delta_zstd,8963400,1902,4712.6,5176689,2721.7,6.88
180000,split,8964200,635,14116.9,11925326,18780.0,1.0
180000,split_zstd,8962200,635,14113.7,6533479,10288.9,1.825
180000,delta,8965200,635,14118.4,4866954,7664.5,2.45
180000,delta_zstd,8964400,635,14117.2,2387843,3760.4,4.994
600000,split,8962600,191,46924.6,3588470,18787.8,1.0
600000,split_zstd,8961000,191,46916.2,2126021,11131.0,1.688
600000,delta,8963600,191,46929.8,1747855,9151.1,2.053
600000,delta_zstd,8962800,191,46925.7,907634,4752.0,3.954
