dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
ClusterMonitoring,Reservoir,100,1,11104624.46533102,ClusterMonitoring_ReservoirBuild_100_1sec,137.578896231,135551.72712454063,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,11099252.706301823,ClusterMonitoring_ReservoirBuild_100_1sec,137.645480955,135486.1552345251,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,10883350.345878214,ClusterMonitoring_ReservoirBuild_100_1sec,140.376072482,132850.68224423582,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,11047670.271438198,ClusterMonitoring_ReservoirBuild_100_1sec,138.28815845,134856.49971065906,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,,ClusterMonitoring_ReservoirBuild_100_1sec,,,,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,crashed (SIGABRT)
ClusterMonitoring,Reservoir,100,1,,ClusterMonitoring_ReservoirBuild_100_1sec,,,,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,crashed (SIGSEGV)
ClusterMonitoring,Reservoir,100,1,11121456.350536972,ClusterMonitoring_ReservoirBuild_100_1sec,137.370676002,135757.19027347935,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,11167268.14860313,ClusterMonitoring_ReservoirBuild_100_1sec,136.807136416,136316.40489347265,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,11166748.099214429,ClusterMonitoring_ReservoirBuild_100_1sec,136.813507695,136310.0567640921,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,500,1,,ClusterMonitoring_ReservoirBuild_500_1sec,,,,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,failed (exit code 11)
ClusterMonitoring,Reservoir,500,1,,ClusterMonitoring_ReservoirBuild_500_1sec,,,,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,failed (exit code 11)
ClusterMonitoring,Reservoir,500,1,11187984.473679222,ClusterMonitoring_ReservoirBuild_500_1sec,136.553816337,136569.28455207837,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,500,1,11084901.602437735,ClusterMonitoring_ReservoirBuild_500_1sec,137.823684124,135310.97444196485,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,500,1,,ClusterMonitoring_ReservoirBuild_500_1sec,,,,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,crashed (SIGSEGV)
ClusterMonitoring,Reservoir,500,1,,ClusterMonitoring_ReservoirBuild_500_1sec,,,,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,crashed (SIGSEGV)
ClusterMonitoring,Reservoir,500,1,11158115.337526027,ClusterMonitoring_ReservoirBuild_500_1sec,136.919356969,136204.6785263704,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,500,1,,ClusterMonitoring_ReservoirBuild_500_1sec,,,,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,failed (exit code 11)
ClusterMonitoring,Reservoir,500,1,,ClusterMonitoring_ReservoirBuild_500_1sec,,,,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,crashed (SIGSEGV)
ClusterMonitoring,Reservoir,1000,1,,ClusterMonitoring_ReservoirBuild_1000_1sec,,,,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,failed (exit code 11)
