dataset,statistic_type,statistic_config,query_name,num_statistic_ids,build_window_size_sec,build_windows_per_probe_window,num_probe_tuples,num_probe_repetitions,probe_throughput_listener,probe_duration_s,build_throughput_listener,build_duration_s,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,issue
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1348000.0,43.601181507110596,177800.26446280992,200.0608320236206,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1085897.5,18.2805278301239,179446.40663900416,246.70437335968018,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1085897.5,18.035357236862183,178126.27329192546,248.95449686050415,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,66.93537020683289,175084.10204081633,204.04418277740479,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,41.603365421295166,179366.36570247935,192.0528392791748,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.274035215377808,176409.03092783506,227.36643147468567,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1298000.0,18.272212266921997,180357.3762993763,215.63879704475403,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1298000.0,18.272990226745605,179030.1718426501,246.71381545066833,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1248333.3333333333,18.0246479511261,175361.1466395112,196.30870509147644,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.020749807357788,180407.01666666666,192.05996084213257,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.27127432823181,180220.96033402922,200.299809217453,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.272915363311768,180570.55532359082,194.0555136203766,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,3296000.0,43.3515202999115,342668.22279792745,208.28838348388672,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2097000.0,18.018215894699097,345222.387434555,200.0400550365448,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2247000.0,18.017693758010864,348035.4554973822,210.28479886054993,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.272255659103394,342479.37373737374,202.04009985923767,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.020532608032227,339234.3567839196,204.0390124320984,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.270991563796997,341871.2717948718,218.2884931564331,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,3296000.0,18.022095680236816,334974.1557788945,224.30821990966797,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2696000.0,18.02140164375305,338598.736318408,216.30986666679382,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,1872295.0,18.019113540649414,348200.3144329897,233.39207863807678,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.022855281829834,346750.6910994764,258.7205855846405,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,41.60564970970154,343034.5618556701,208.0547251701355,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,66.68266201019287,336874.76097560977,214.0616602897644,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2397000.0,18.27182412147522,541284.012195122,236.0308678150177,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,4793000.0,18.02113962173462,572427.4556962026,216.03799319267273,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2097000.0,18.269485473632812,535210.7802197802,241.60822653770447,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.018605709075928,528642.5930232558,238.28841185569763,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.01812720298767,520625.8024691358,216.2804398536682,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,66.68683934211731,531984.1927710844,239.6151180267334,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2397000.0,43.60155749320984,548222.2345679012,242.0551736354828,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2247000.0,43.60409426689148,537764.3456790124,222.06335282325745,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1,10,100000,2846000.0,43.348291873931885,526299.9761904762,224.30907249450684,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.019458532333374,554280.4875,220.0535340309143,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,41.60326147079468,550923.9615384615,220.06218576431274,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,100,ReservoirBuild_100,1,1,1000,10,100000,-1,16.27045750617981,578764.6341463415,232.29462003707886,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1235745.0,18.018429040908813,179074.65979381444,244.70396876335144,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1123397.5,43.603312730789185,177526.50103092784,204.29585671424866,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1123397.5,18.018624544143677,180552.09375,190.04633975028992,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.270517587661743,177752.1316872428,198.04713797569275,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
