elapsed_s,root_rx_bps
1.043,243260.2
2.082,289739.4
3.119,485750.2
4.162,913633.6
5.200,559439.1
6.239,548451.3
7.280,425260.3
8.320,387614.3
9.359,466859.9
10.397,437901.4
11.435,710113.3
12.474,380269.4
13.514,186996.5
14.553,252812.4
15.594,227069.5
16.631,152833.1
17.671,87447.9
18.711,127791.4
19.752,80397.0
20.790,127593.9
21.829,101962.5
22.868,101895.4
23.911,95252.9
24.952,107627.1
25.991,189288.6
27.032,174925.8
28.072,140146.8
29.109,137350.0
30.147,117582.8
31.185,84436.0
32.221,98234.9
33.259,119207.4
34.300,125723.4
35.340,124051.6
36.383,173760.9
37.421,102070.4
38.459,83714.2
39.498,84569.9
40.538,93312.5
41.581,82018.7
42.618,81360.8
43.660,116686.6
44.702,176830.6
45.740,144613.6
46.778,242623.7
47.816,146429.4
48.858,183027.1
49.896,131333.4
50.935,209909.0
51.975,198346.6
53.016,293624.3
54.058,205017.0
55.100,281056.6
56.143,191470.3
57.183,202371.4
58.225,171289.0
59.260,90584.8
