elapsed_s,root_rx_bps
1.041,36512.4
2.082,48849.3
3.122,42339.5
4.157,34344.0
5.200,32520.6
6.242,29532.4
7.282,30267.6
8.322,25257.6
9.362,25764.3
10.402,21997.3
11.442,20785.1
12.480,8600.7
13.523,4336.1
14.560,5228.2
15.600,5473.3
16.639,3770.2
17.677,2905.4
18.718,2896.9
19.761,2022.5
20.801,2315.5
21.839,2617.8
22.879,2609.3
23.917,2033.4
24.959,2602.8
25.997,3774.1
27.037,3772.8
28.075,3191.7
29.115,3190.9
30.156,2609.0
31.196,2026.7
32.239,2311.5
33.281,2604.5
34.324,4045.9
35.362,3126.6
36.400,3573.5
37.442,2299.7
38.484,2011.2
39.524,2016.2
40.566,2024.2
41.606,2030.8
42.647,2028.1
43.683,2326.4
44.721,5133.6
45.762,15450.0
46.805,15774.2
47.843,13682.7
48.881,15663.9
49.920,14546.1
50.962,12728.6
52.000,20784.8
53.038,22307.0
54.075,21843.7
55.114,16702.6
56.153,23872.5
57.191,22711.0
58.229,8943.8
59.264,9353.2
