elapsed_s,root_rx_bps
1.044,1770815.8
2.084,1844292.1
3.117,1894353.5
4.154,1916407.9
5.194,1925168.0
6.233,1872245.0
7.269,1886180.2
8.309,1885383.0
9.348,1866464.5
10.384,1903235.0
11.420,1924739.6
12.461,1991496.8
13.498,2013207.8
14.536,1968078.9
15.573,1976531.6
16.613,1966345.5
17.652,1984393.0
18.688,2023965.4
19.729,2016204.2
20.768,1996738.5
21.804,2021540.6
22.846,2008499.3
23.884,2007730.9
24.926,2008173.1
25.964,1998113.7
27.005,1991824.9
28.046,2014744.6
29.090,2005552.9
30.127,2022508.6
31.169,2021232.7
32.208,2018125.1
33.250,1984728.3
34.290,1975481.4
35.328,2002482.8
36.367,1996088.3
37.408,2005767.5
38.448,2017653.1
39.485,2016200.3
40.522,2023523.7
41.562,2008504.3
42.601,2017400.4
43.639,2011715.2
44.679,1917961.5
45.716,1878977.5
46.757,1876018.1
47.793,1872040.6
48.830,1881787.7
49.870,1877976.7
50.912,1876373.3
51.955,1860027.3
52.993,1882778.2
54.033,1869629.0
55.074,1864552.6
56.111,1865203.8
57.151,1865676.0
58.188,1878317.3
59.227,1874090.6
