elapsed_s,root_rx_bps
1.042,3074058.1
2.081,3627096.5
3.123,3360622.5
4.163,3006870.6
5.200,2397437.2
6.243,2348702.9
7.282,2337810.7
8.324,1989264.2
9.366,2187145.9
10.405,1667792.4
11.443,1597017.6
12.484,580850.4
13.524,274616.2
14.565,346960.3
15.605,330074.9
16.644,258338.4
17.681,186479.2
18.721,167640.0
19.762,131319.9
20.801,168421.8
21.841,167941.9
22.878,150001.0
23.916,150228.5
24.955,150078.7
25.996,257594.5
27.033,240060.0
28.074,203571.9
29.113,185625.7
30.157,167681.0
31.196,131678.0
32.234,150080.4
33.274,186061.6
34.314,258404.2
35.354,203891.0
36.395,221343.2
37.433,150203.2
38.473,131319.2
39.514,131181.0
40.553,131374.0
41.593,149755.7
42.633,112513.1
43.670,150131.0
44.707,439333.9
45.744,1236132.4
46.784,1268986.4
47.825,1069214.4
48.863,1271564.7
49.907,1137827.9
50.950,977211.0
51.989,1758466.0
53.030,1701775.6
54.073,1752526.0
55.112,1415533.5
56.151,1921224.0
57.188,1744803.5
58.229,671096.6
59.269,725793.2
