dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
Nexmark,Reservoir,100,1,2851193531.046682,Nexmark_ReservoirBuild_100_1sec,2.342357543,78549801.90784648,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,2886822911.6543517,Nexmark_ReservoirBuild_100_1sec,2.313447994,79531384.09732498,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,2932710164.6119814,Nexmark_ReservoirBuild_100_1sec,2.277250154,80795568.5838105,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,8918788513.371881,Nexmark_ReservoirBuild_100_1sec,0.748814109,245710809.65035608,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,8770796272.991972,Nexmark_ReservoirBuild_100_1sec,0.761449071,241633653.5263827,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,8819505670.57313,Nexmark_ReservoirBuild_100_1sec,0.757243651,242975587.52328184,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,16797379192.060537,Nexmark_ReservoirBuild_100_1sec,0.39759266,462764380.509439,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,16929116420.56933,Nexmark_ReservoirBuild_100_1sec,0.394498715,466393714.36228883,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,1,16825545531.371794,Nexmark_ReservoirBuild_100_1sec,0.396927081,463540357.42902607,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,1,1799173713.3794236,Nexmark_ReservoirBuild_1000_1sec,3.711989912,49566869.88970459,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
