normalized_timestamp,query_id,throughput,bufferSizeInBytes,buffersInGlobalBufferManager,executionMode,joinStrategy,numberOfEntriesSliceCaches,numberOfWorkerThreads,pageSize,query
0,309311973,1.9,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
3000,1886459973,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
6200,1747381926,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
9200,1299417275,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
10000,309311973,2.2,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
12400,1570516190,2.2,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
13000,1886459973,2.2,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
15200,1690466846,1.9,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
16200,1747381926,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
18400,1116311693,2.1,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
19200,1299417275,1.961,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
20000,309311973,1.863,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
21400,150980833,2.2,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
22400,1570516190,2.1,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
23000,1886459973,2.059,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
24400,1405529757,1.9,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
25200,1690466846,1.863,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
26200,1747381926,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
27400,1290535504,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
28400,1116311693,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
29400,1299417275,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
30200,309311973,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,aggregation
0,1090427725,2.1,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
3000,1528457167,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
6000,2085208925,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
9000,1681595085,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
10000,1090427725,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
12200,1357381598,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
13000,1528457167,2.2,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
15200,1252913252,2.2,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
16000,2085208925,2.1,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
18200,2039120340,2.1,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
19000,1681595085,2.255,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
20000,1090427725,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
21200,1428836224,2.1,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
22200,1357381598,2.0,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
23000,1528457167,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
24400,117792493,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
25200,1252913252,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
26000,2085208925,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
27400,1543683942,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
28200,2039120340,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
29200,1681595085,2.3,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
30000,1090427725,2.4,8192,4000000,COMPILER,HASH_JOIN,10,24,8192,filter
